parent_asin,review_count,sentiment_score_mean,positive_ratio,negative_ratio,normalized_sentiment_mean,normalized_review_volume,product_potential_score
B0C5PHZ4QS,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0BHZ1GDVT,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0BTPBBL52,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B089B6LTLV,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B089PMMT1X,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B075XN1NZC,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B07SHFPD8S,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0971XBV8M,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B01054S5FM,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B08MRTZWJ5,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B013JZCAZK,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B00X5P8BJO,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B075KP9XHS,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0BL6788GP,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0BB6TYK7V,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0BVZZ36ZL,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B09F3RBZB6,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B08PFVF5L8,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B07KGVB6D6,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B08DLSLCF3,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0000AI0N1,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B071XTGHFT,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B007HCCNJU,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B071K5BQPF,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B09WHPJZD3,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B007OYAVLI,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B07D1XGQHJ,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B092DD5L2V,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B07PDHSLM6,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0BDSZ2KT3,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00RFLXE0A,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0044YU60M,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B06XRTFG29,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00U84SJRO,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0BB6Y5N3M,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B07F4MYW5B,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0792K2BK6,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B08HGHSZ8N,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B06XX29S9Q,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00VKIY9RG,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B06XSGYL1Q,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0777SJZ55,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B09XK17BN5,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B09Y1PSVTB,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00P28VN38,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0001FTVEK,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B09Q3NR84W,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00PBIJHQY,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B004JWA70I,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0B6DPD19Z,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0C2Q3DYFY,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B073JYC4XM,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B084VFH8MT,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B095L8F33R,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0C2TNX859,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B07RCMTLHD,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B09JQMJHXY,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0BJGKZKV9,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B09FDMGNQR,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B006T9B6R2,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00KC0HVTQ,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00EZMZULI,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B07WHTQW4X,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0BHWQ3H17,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B01BFIBRIE,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B074CPK9SB,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00E0J0EL2,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0BHXQLLXB,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B096K4MF5V,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B00EN9Q35A,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B09YYX736L,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0C5MCSLKZ,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B014TUZ92U,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B01N44JBS4,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B071WGSZ81,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B07GPGVYGX,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B0BZLBL1L9,4,3.0,1.0,0.0,1.0,0.05172413793103448,0.7155172413793103
B07S764D9V,29,2.6206896551724137,0.7931034482758621,0.1724137931034483,0.8103448275862069,0.4827586206896552,0.7120689655172414
B08F1P3BCC,16,2.8125,0.875,0.0625,0.90625,0.25862068965517243,0.7119612068965516
B06XD9T2T5,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07FN9PR61,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01MG4DIDO,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09JH3MXFN,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B004HFS6Z0,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07GVWH35S,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08TJXX3MD,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08S3CNT4W,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B004XC6GJ0,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07GT37484,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08SQ8QNPW,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B06X16Z7DZ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08TBPJSKS,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B8YY8QXG,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B12PXQYM,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01N24N9TH,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09HRKD9F7,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C2HWSXNL,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B094JD6SHP,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B6J6Q1QY,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B001PBWNOY,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07C1RSV9C,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09554QF7L,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07BWMNQTY,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B095L3HVW2,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0016OEV7C,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00176T9OY,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B074P4MG1Q,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C26NRH8Z,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0019EHU8G,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07532HKWG,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0753G7SJ5,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0975CFTPN,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B097D5GXZH,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07BFCVJZC,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00109Y2DQ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B075M6275Q,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07BLKHQK6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C71PTXVC,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07C3W6DFP,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C3TLTQGR,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C3H2SV75,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B7Z96WFM,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07FLH7VLQ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07FPP6TB5,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08Y8XW37R,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08Y929JZN,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B1S5LBRQ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B1HJ23M3,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0039BPG1A,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0742CM7T8,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B071Y2SG3R,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B072FHJVT2,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C5QB1B1X,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C5PC4J6W,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B751K1LV,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07CMK6QYC,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B072M34RQC,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B2DD1SC2,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07CZ3WXYX,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07CPNR79C,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B071Z2WHPR,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07TJLM1YM,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BRT7XFM5,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09TWVB2TH,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00IVPU7AO,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08739SDH3,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BKG4RT1F,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07S8F43Y6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BS1QXF6M,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00HEEOQBO,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07S4KJV6W,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07RR5WZCR,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01ITOFEX6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BSFT117F,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B089W47DTX,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07R217P25,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00FEAQ7WG,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09MMWM2Y8,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01BCWKBZI,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BTYP1CWP,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09W4XDQ9Q,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01AOODE18,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00D2ZDY2Q,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00DGRUY3M,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07Q2WQWT7,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BJKGH183,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00TOVTZ7K,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09RXJHHX7,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07Z3ZF5NG,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00RFLGH5E,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00R1ZEBUW,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09QLBKCZ3,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00QOOZ4DE,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B081S5XL28,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00X3TUHWG,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09Q7YPZPJ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B082SW81WD,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00KJLMBQQ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00NVKHLP8,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07WNJQFP9,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B082X666WZ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B083JFTZMN,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09SN7TZ99,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07WGPTZHR,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0105VDCZ8,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07W42V3CY,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07W4MGFS6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BL3B12HK,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09TNV7Q69,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09TNBGX9L,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00WY654TU,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BYYGZHG5,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B098DSFTQM,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08L5M9BTJ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BCPC68J6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08MBX4FNC,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B007BYLO4E,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B007OZNUCE,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09YR41P6L,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01LVVG5XS,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BZT5GQGJ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07JGSN975,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BVY5RHRR,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B006MCDUZM,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07JMFQTC5,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08P3J2JP2,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08P3VMW76,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C1J4XGB1,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01M7VOJFW,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09Z228SQJ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B005HQ5138,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BB6RBYJ6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01MTY7MSK,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08Q2WMGKP,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01MEG2HXP,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09K8CBWBG,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01C6ESQM6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08DCYHFD4,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01CW4BG4K,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00C4P6AKS,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BGCDYQQY,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07P92XS72,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BW543RH8,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BWBC2GLD,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07P1FN7KQ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01DU67QZM,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B00AFKCCSS,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BG4BVXPZ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09KWWZ67B,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01FV2HIYC,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07N5ZPYFK,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08J79T7CQ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07MTCMHZX,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09Y54MQWT,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08JQ42WFN,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08J42GSW6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09KV19HQ5,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B008GVOVK0,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B008GFRE5A,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B08JV8NB1Z,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0BY98CSFT,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B01G8JO5F2,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B077ZS7D77,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07725JKKY,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0B3T4JWN9,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09BP1LB8L,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0CCQHH8Z6,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0001OHH0Q,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
0345803507,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B075JB46XP,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0785NMZFJ,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0CDCF3MLP,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B09BZGJCGD,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B075KZTN4J,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B075RV7KR1,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B07837W5NX,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B077Y93YRR,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B0C7Q3X76Q,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B099RZY28N,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
B078NNDXTG,3,3.0,1.0,0.0,1.0,0.034482758620689655,0.7103448275862069
